district,stage_name,ndvi_mean,ndvi_std,vel_median,vel_std,bsi_median,bsi_std,lswi_vel_median,lswi_vel_std
Batticaloa,Vegetative,0.4603593460410779,0.15648730751371598,0.092094004,0.05593132436357551,-0.0049074884,0.13617900748321363,0.08058426,0.05778225481188937
Colombo,Harvest,0.6227461448047837,0.08220016160926728,0.0,0.04343823674936958,-0.13863526,0.06930809622612967,0.0,0.03068955462050576
Colombo,Reproductive,0.7219377898809525,0.06246644152991516,0.0,0.057192311487697226,-0.20249289999999998,0.06525968979910367,0.0,0.030994421777805297
Colombo,Ripening,0.5935996389320388,0.08545214576466356,-0.060031965,0.039381207673333044,-0.12099081,0.07759012105422783,-0.0375867075,0.03115343364559697
Colombo,Transplant,0.48132475193548385,0.07145678158466645,-0.0303849575,0.036405603519404875,-0.07099633999999999,0.07984522095914662,-0.0118579935,0.030449572465213372
Colombo,Vegetative,0.6070707553781512,0.09674915477837427,0.05339822,0.03882471594436461,-0.14727548,0.08259372220668827,0.02639462,0.027136756935596647
Galle,Harvest,0.6892891428792511,0.06957789612879745,-0.000603586425,0.03596478473525592,-0.196526165,0.04894439404087773,0.0,0.023016019896166973
Galle,Reproductive,0.7637217858791209,0.057953658373146505,0.0,0.05112094591227029,-0.24637783,0.04888560403440089,-0.000166393815,0.027098543723377836
Galle,Ripening,0.6362572878873239,0.1058841220112859,-0.04908192,0.03448569946413713,-0.16689216,0.06772473405642422,-0.027459562,0.031710423643057935
Galle,Transplant,0.5102881985483871,0.07311919859465749,-0.0243790895,0.03949340966711572,-0.117382963,0.06310166227701511,-0.0020267293000000002,0.026801323473173013
Galle,Vegetative,0.647907929,0.093697745885561,0.0459743735,0.04180758607264716,-0.193147685,0.06032604294925273,0.019937854,0.024373427428704
Gampaha,Harvest,0.6227308279902343,0.0946606468695291,0.0,0.04636543309028358,-0.15722255,0.07592461162176274,0.0,0.0376778202356874
Gampaha,Reproductive,0.7268240721566975,0.06258655587970714,0.0,0.05735684439206528,-0.22472237,0.05298057549629723,0.0,0.03759948285892937
Gampaha,Ripening,0.585516637405628,0.09887865911209945,-0.05784601,0.0436319790042873,-0.12252783,0.08461440301241216,-0.043183208,0.0385666762569329
Gampaha,Transplant,0.4682558692077465,0.08115464459635605,-0.026062250000000002,0.03831544605553033,-0.0789969175,0.08475880588140856,-0.0027865879499999998,0.0373958955597508
Gampaha,Vegetative,0.605394809668325,0.09896292117994479,0.0595153275,0.03930044728926885,-0.16948646,0.07677145446658996,0.0325289145,0.03836218980897983
Hambantota,Harvest,0.5773832697697011,0.14101050550543962,-0.0035947560999999998,0.047854957730819624,-0.093361065,0.12006580235338893,-0.0021197535,0.04481456227860017
Hambantota,Reproductive,0.7274454379593143,0.08942498803018764,0.0,0.06437672176802166,-0.23754917,0.08663645293551032,-0.00113976,0.04791663294396014
Hambantota,Ripening,0.5170656870500298,0.13190215909582315,-0.09222767,0.05060107338576694,-0.0583075245,0.1070299669721447,-0.0739985,0.05038512804978071
